"Date","Price","Open","High","Low","Vol.","Change %"
"02/09/2023","3.74","3.69","3.75","3.65","173.37K","2.47%"
"02/08/2023","3.65","3.70","3.74","3.63","218.60K","-0.54%"
"02/07/2023","3.67","3.74","3.74","3.65","273.17K","0.82%"
"02/06/2023","3.64","3.69","3.79","3.61","197.01K","-0.82%"
"02/05/2023","3.67","3.65","3.75","3.45","455.51K","-0.27%"
"02/02/2023","3.68","3.88","3.88","3.64","278.90K","-3.41%"
"02/01/2023","3.81","3.80","3.89","3.73","203.21K","1.33%"
"01/31/2023","3.76","3.90","3.97","3.74","394.13K","-3.34%"
"01/30/2023","3.89","4.05","4.06","3.80","752.58K","-3.23%"
"01/29/2023","4.02","4.09","4.15","4.00","655.15K","-2.43%"
"01/25/2023","4.12","3.95","4.16","3.92","878.75K","4.57%"
"01/24/2023","3.94","3.86","3.98","3.70","1.67M","2.07%"
"01/23/2023","3.86","3.95","3.97","3.84","168.75K","-2.28%"
"01/22/2023","3.95","3.85","4.00","3.81","342.60K","2.60%"
"01/19/2023","3.85","3.89","3.90","3.81","191.65K","0.00%"
"01/18/2023","3.85","4.00","4.00","3.81","578.14K","-3.02%"
"01/17/2023","3.97","3.95","4.00","3.91","400.87K","-0.25%"
"01/16/2023","3.98","4.00","4.03","3.93","216.78K","-0.50%"
"01/15/2023","4.00","4.01","4.04","3.92","292.99K","-0.50%"
"01/12/2023","4.02","4.09","4.10","4.01","162.54K","-0.99%"
"01/11/2023","4.06","4.02","4.20","4.02","334.19K","0.25%"
"01/10/2023","4.05","4.20","4.23","4.03","277.41K","-3.34%"
"01/09/2023","4.19","4.15","4.27","4.13","821.95K","-7.51%"
"01/05/2023","4.53","4.41","4.55","4.37","1.36M","3.19%"
"01/04/2023","4.39","4.39","4.42","3.68","1.17M","1.39%"
"01/03/2023","4.33","4.45","4.45","4.28","803.37K","-2.26%"
"01/02/2023","4.43","4.40","4.47","4.39","349.85K","1.37%"
"12/29/2022","4.37","4.35","4.44","4.32","462.56K","1.39%"
"12/28/2022","4.31","4.35","4.38","4.30","188.08K","0.00%"
"12/27/2022","4.31","4.35","4.38","4.30","767.24K","1.17%"
"12/26/2022","4.26","4.15","4.31","4.15","726.18K","1.91%"
"12/25/2022","4.18","4.22","4.29","4.11","1.10M","0.72%"
"12/22/2022","4.15","4.03","4.28","3.96","1.08M","4.01%"
"12/21/2022","3.99","4.01","4.04","3.96","222.64K","-0.25%"
