Date,24K - Local Price/Sell,24K - Local Price/Buy,22K - Local Price/Sell,22K - Local Price/Buy,21K - Local Price/Sell,21K - Local Price/Buy,18K - Local Price/Sell,18K - Local Price/Buy,14K - Local Price/Sell,14K - Local Price/Buy,12K - Local Price/Sell,12K - Local Price/Buy,24K - Global Price,22K - Global Price,21K - Global Price,18K - Global Price,14K - Global Price,12K - Global Price,9K - Global Price,15K - Global Price,16K - Global Price,17K - Global Price,19K - Global Price,20K - Global Price,23K - Global Price,25K - Global Price,26K - Global Price,27K - Global Price,28K - Global Price,29K - Global Price,30K - Global Price,31K - Global Price,1K - Global Price,2K - Global Price,3K - Global Price,4K - Global Price,5K - Global Price,6K - Global Price,7K - Global Price,8K - Global Price,10K - Global Price,11K - Global Price,13K - Global Price
2022-11-09,1394.0,1401.0,1278.0,1284.0,1220.0,1226.0,1046.0,1051.0,813.0,817.0,697.0,701.0,1339.0,1227.0,1171.0,1004.0,780.84,669.28,501.97,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-10,1398.0,1402.0,1281.0,1285.0,1223.0,1227.0,1048.0,1052.0,815.0,818.0,699.0,701.0,1378.0,1263.0,1206.0,1033.0,803.74,688.91,516.69,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-11,1431.0,1435.0,1312.0,1316.0,1252.0,1256.0,1073.0,1077.0,835.0,837.0,715.0,718.0,1387.0,1271.0,1213.0,1040.0,808.95,693.38,520.04,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-12,1446.0,1457.0,1325.0,1336.0,1265.0,1275.0,1084.0,1093.0,843.0,850.0,723.0,729.0,1387.0,1272.0,1214.0,1041.0,809.33,693.71,520.28,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-13,1429.0,1440.0,1310.0,1320.0,1250.0,1260.0,1071.0,1080.0,833.0,840.0,714.0,720.0,1388.0,1273.0,1215.0,1041.0,809.92,694.21,520.66,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-14,1438.0,1442.0,1318.0,1322.0,1258.0,1262.0,1078.0,1082.0,839.0,841.0,719.0,721.0,1395.0,1279.0,1221.0,1046.0,813.78,697.52,523.15,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-15,1442.0,1449.0,1322.0,1328.0,1262.0,1268.0,1082.0,1087.0,841.0,845.0,721.0,725.0,1400.0,1283.0,1225.0,1050.0,816.5,699.86,524.89,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-16,1438.0,1445.0,1318.0,1324.0,1258.0,1264.0,1078.0,1083.0,839.0,843.0,719.0,722.0,1397.0,1281.0,1223.0,1048.0,815.05,698.61,523.96,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-17,1449.0,1454.0,1328.0,1333.0,1268.0,1272.0,1087.0,1090.0,845.0,848.0,725.0,727.0,1389.0,1273.0,1215.0,1042.0,810.2,694.45,520.84,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-18,1466.0,1471.0,1344.0,1348.0,1283.0,1287.0,1100.0,1103.0,855.0,858.0,733.0,735.0,1379.0,1264.0,1207.0,1034.0,804.49,689.56,517.17,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-19,1475.0,1480.0,1349.0,1354.0,1290.0,1294.0,1106.0,1109.0,859.0,861.0,736.0,738.0,1384.0,1269.0,1211.0,1038.0,807.31,691.98,518.99,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-20,1472.0,1477.0,1349.0,1354.0,1288.0,1292.0,1104.0,1107.0,859.0,861.0,736.0,738.0,1387.0,1271.0,1213.0,1040.0,808.92,693.35,520.02,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-21,1491.0,1498.0,1367.0,1373.0,1305.0,1311.0,1119.0,1124.0,870.0,874.0,746.0,749.0,1372.0,1258.0,1201.0,1029.0,800.42,686.07,514.56,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-22,1520.0,1527.0,1393.0,1400.0,1330.0,1336.0,1140.0,1145.0,887.0,891.0,760.0,763.0,1372.0,1258.0,1201.0,1029.0,800.39,686.04,514.54,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-23,1549.0,1560.0,1420.0,1430.0,1355.0,1365.0,1161.0,1170.0,903.0,910.0,774.0,780.0,1383.0,1268.0,1210.0,1037.0,806.77,691.51,518.64,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-24,1589.0,1600.0,1456.0,1467.0,1390.0,1400.0,1191.0,1200.0,927.0,933.0,794.0,800.0,1388.0,1273.0,1215.0,1041.0,809.79,694.11,520.58,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-25,1629.0,1640.0,1493.0,1503.0,1425.0,1435.0,1221.0,1230.0,950.0,957.0,814.0,820.0,1388.0,1272.0,1215.0,1041.0,809.75,694.07,520.55,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-26,1638.0,1649.0,1501.0,1512.0,1433.0,1443.0,1228.0,1237.0,955.0,962.0,819.0,825.0,1386.0,1270.0,1212.0,1039.0,808.22,692.75,519.57,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-27,1669.0,1691.0,1530.0,1550.0,1460.0,1480.0,1251.0,1269.0,973.0,987.0,834.0,846.0,1389.0,1274.0,1216.0,1042.0,810.51,694.72,521.04,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-28,1646.0,1691.0,1509.0,1550.0,1440.0,1480.0,1234.0,1269.0,960.0,987.0,823.0,846.0,1375.0,1261.0,1203.0,1032.0,802.29,687.67,515.76,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-29,1651.0,1674.0,1514.0,1535.0,1445.0,1465.0,1239.0,1256.0,963.0,977.0,826.0,837.0,1381.0,1266.0,1209.0,1036.0,805.67,690.57,517.93,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-30,1691.0,1703.0,1550.0,1561.0,1480.0,1490.0,1269.0,1277.0,987.0,993.0,846.0,851.0,1398.0,1282.0,1224.0,1049.0,815.7,699.17,524.38,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-01,1746.0,1758.0,1601.0,1611.0,1528.0,1538.0,1310.0,1318.0,1019.0,1025.0,873.0,879.0,1425.0,1306.0,1246.0,1068.0,830.97,712.26,534.2,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-02,1806.0,1829.0,1655.0,1676.0,1580.0,1600.0,1354.0,1371.0,1053.0,1067.0,903.0,914.0,1422.0,1303.0,1244.0,1066.0,829.48,710.98,533.23,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-03,1840.0,1863.0,1687.0,1708.0,1610.0,1630.0,1380.0,1397.0,1073.0,1087.0,920.0,931.0,1422.0,1303.0,1244.0,1066.0,829.48,710.98,533.23,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-04,1920.0,1966.0,1760.0,1802.0,1680.0,1720.0,1440.0,1474.0,1120.0,1147.0,960.0,983.0,1422.0,1303.0,1244.0,1066.0,829.48,710.98,533.23,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-05,2034.0,2091.0,1865.0,1917.0,1780.0,1830.0,1526.0,1569.0,1187.0,1220.0,1017.0,1046.0,1422.0,1303.0,1244.0,1066.0,829.48,710.98,533.23,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-06,1966.0,2023.0,1802.0,1854.0,1720.0,1770.0,1474.0,1517.0,1147.0,1180.0,983.0,1011.0,1402.0,1285.0,1227.0,1052.0,817.94,701.09,525.82,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-07,1920.0,1966.0,1760.0,1802.0,1680.0,1720.0,1440.0,1474.0,1120.0,1147.0,960.0,983.0,1420.0,1301.0,1242.0,1065.0,828.1,709.8,532.35,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-08,1840.0,1897.0,1687.0,1739.0,1610.0,1660.0,1380.0,1423.0,1073.0,1107.0,920.0,949.0,1417.0,1299.0,1240.0,1062.0,826.33,708.28,531.21,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-09,1886.0,1954.0,1729.0,1791.0,1650.0,1710.0,1414.0,1466.0,1100.0,1140.0,943.0,977.0,1425.0,1306.0,1247.0,1068.0,831.0,712.28,534.21,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-10,1886.0,1954.0,1729.0,1791.0,1650.0,1710.0,1414.0,1466.0,1100.0,1140.0,943.0,977.0,1421.0,1303.0,1243.0,1066.0,828.91,710.49,532.87,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-11,1886.0,1954.0,1729.0,1791.0,1650.0,1710.0,1414.0,1466.0,1100.0,1140.0,943.0,977.0,1423.0,1304.0,1245.0,1067.0,829.82,711.27,533.45,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-12,1886.0,1931.0,1729.0,1770.0,1650.0,1690.0,1414.0,1449.0,1100.0,1127.0,943.0,966.0,1412.0,1295.0,1236.0,1059.0,823.96,706.24,529.69,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-13,1874.0,1897.0,1718.0,1739.0,1640.0,1660.0,1406.0,1423.0,1093.0,1107.0,937.0,949.0,1436.0,1316.0,1256.0,1077.0,837.53,717.88,538.41,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-14,1897.0,1954.0,1739.0,1791.0,1660.0,1710.0,1423.0,1466.0,1107.0,1140.0,949.0,977.0,1438.0,1318.0,1259.0,1079.0,839.0,719.14,539.35,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-15,2114.0,2143.0,1938.0,1964.0,1850.0,1875.0,1586.0,1607.0,1233.0,1250.0,1057.0,1071.0,1412.0,1294.0,1235.0,1059.0,823.52,705.87,529.4,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-16,2091.0,2126.0,1917.0,1949.0,1830.0,1860.0,1569.0,1594.0,1220.0,1240.0,1046.0,1063.0,1423.0,1304.0,1245.0,1067.0,829.9,711.34,533.51,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-17,2000.0,2057.0,1833.0,1886.0,1750.0,1800.0,1500.0,1543.0,1167.0,1200.0,1000.0,1029.0,1422.0,1303.0,1244.0,1066.0,829.44,710.95,533.21,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-18,1943.0,2000.0,1781.0,1833.0,1700.0,1750.0,1457.0,1500.0,1133.0,1167.0,971.0,1000.0,1421.0,1303.0,1244.0,1066.0,829.01,710.58,532.93,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-19,1874.0,1897.0,1718.0,1739.0,1640.0,1660.0,1406.0,1423.0,1093.0,1107.0,937.0,949.0,1424.0,1306.0,1246.0,1068.0,830.96,712.25,534.19,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-20,1966.0,1989.0,1802.0,1823.0,1720.0,1740.0,1474.0,1491.0,1147.0,1160.0,983.0,994.0,1443.0,1323.0,1263.0,1082.0,841.88,721.61,541.21,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-21,1989.0,2034.0,1823.0,1865.0,1740.0,1780.0,1491.0,1526.0,1160.0,1187.0,994.0,1017.0,1447.0,1326.0,1266.0,1085.0,843.91,723.35,542.51,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-22,1966.0,2000.0,1802.0,1833.0,1720.0,1750.0,1474.0,1500.0,1147.0,1167.0,983.0,1000.0,1420.0,1301.0,1242.0,1065.0,828.22,709.9,532.42,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-23,1920.0,1954.0,1760.0,1791.0,1680.0,1710.0,1440.0,1466.0,1120.0,1140.0,960.0,977.0,1430.0,1311.0,1251.0,1073.0,834.2,715.03,536.27,,,,,,,,,,,,,,,,,,,,,,,,
